reasoning_type,fn_name,test_id,num_tests,num_correct,test_acc,size,model
metaphor,orientation_metaphors_down,1,4,4,1.0,,
metaphor,orientation_metaphors_looking_forward,0,12,11,0.9166666666666666,,
motion,motion_one_hop,0,24,0,0.0,6700.0,GPT
motion,motion_one_hop,1,36,36,1.0,6700.0,GPT
motion,motion_one_hop,2,36,0,0.0,6700.0,GPT
motion,motion_one_hop_jerund,0,72,0,0.0,6700.0,GPT
motion,motion_one_hop_jerund,1,72,72,1.0,6700.0,GPT
motion,motion_one_hop_jerund,2,72,0,0.0,6700.0,GPT
motion,non_motion_one_hop,0,24,0,0.0,6700.0,GPT
motion,non_motion_one_hop,1,36,36,1.0,6700.0,GPT
motion,non_motion_one_hop,2,36,0,0.0,6700.0,GPT
motion,non_motion_one_hop_jerund,0,48,0,0.0,6700.0,GPT
motion,non_motion_one_hop_jerund,1,48,48,1.0,6700.0,GPT
motion,non_motion_one_hop_jerund,2,48,0,0.0,6700.0,GPT
orientation,cardinals_neutral,0,96,0,0.0,6700.0,GPT
orientation,cardinals_one_hop,0,24,0,0.0,6700.0,GPT
orientation,cardinals_one_hop,1,72,72,1.0,6700.0,GPT
orientation,left_right_above_below_one_hop,0,160,0,0.0,6700.0,GPT
orientation,left_right_above_below_one_hop,1,640,640,1.0,6700.0,GPT
orientation,left_right_one_hop,0,360,0,0.0,6700.0,GPT
orientation,left_right_one_hop,1,840,840,1.0,6700.0,GPT
distance,far_negative,0,60,60,1.0,6700.0,GPT
distance,far_negative,1,60,60,1.0,6700.0,GPT
distance,far_negative,2,40,40,1.0,6700.0,GPT
distance,far_negative,3,40,40,1.0,6700.0,GPT
distance,far_positive,0,20,0,0.0,6700.0,GPT
distance,far_positive,1,60,0,0.0,6700.0,GPT
distance,far_positive,2,60,0,0.0,6700.0,GPT
distance,nearby_neutral,0,120,0,0.0,6700.0,GPT
distance,nearby_neutral,1,120,0,0.0,6700.0,GPT
distance,not_touching_neutral,0,120,0,0.0,6700.0,GPT
distance,not_touching_neutral,1,120,0,0.0,6700.0,GPT
distance,not_touching_neutral,2,120,0,0.0,6700.0,GPT
distance,not_touching_neutral,3,120,0,0.0,6700.0,GPT
distance,touching_negative,0,120,120,1.0,6700.0,GPT
distance,touching_negative,1,120,120,1.0,6700.0,GPT
distance,touching_negative,2,120,120,1.0,6700.0,GPT
distance,touching_positive,0,120,0,0.0,6700.0,GPT
distance,touching_positive,1,120,0,0.0,6700.0,GPT
distance,touching_positive,2,120,0,0.0,6700.0,GPT
distance,transitivity_negative,0,480,480,1.0,6700.0,GPT
containment,filled_with,0,18,0,0.0,6700.0,GPT
containment,filled_with,1,18,18,1.0,6700.0,GPT
containment,motion_out_of,0,54,0,0.0,6700.0,GPT
containment,motion_out_of,1,54,54,1.0,6700.0,GPT
containment,motion_out_of,2,36,36,1.0,6700.0,GPT
containment,motion_out_of,3,36,0,0.0,6700.0,GPT
containment,movement_into_container,0,54,0,0.0,6700.0,GPT
containment,movement_into_container,1,54,54,1.0,6700.0,GPT
containment,movement_into_container,2,36,36,1.0,6700.0,GPT
containment,one_hop_neg,0,72,72,1.0,6700.0,GPT
containment,one_hop_neg,1,72,0,0.0,6700.0,GPT
containment,one_hop_pos,0,216,0,0.0,6700.0,GPT
containment,one_hop_pos,1,216,0,0.0,6700.0,GPT
containment,one_hop_pos,2,216,0,0.0,6700.0,GPT
containment,two_hop_fits_in,0,528,0,0.0,6700.0,GPT
containment,two_hop_fits_in,1,792,0,0.0,6700.0,GPT
containment,two_hop_fits_in,2,792,0,0.0,6700.0,GPT
containment,two_hop_fits_in,3,792,0,0.0,6700.0,GPT
containment,two_hop_fits_in,4,528,0,0.0,6700.0,GPT
containment,two_hop_fits_in,5,528,0,0.0,6700.0,GPT
containment,two_hop_fits_in,6,528,0,0.0,6700.0,GPT
containment,two_hop_is_in,0,1782,0,0.0,6700.0,GPT
containment,two_hop_is_in,1,1188,0,0.0,6700.0,GPT
containment,two_hop_is_in,2,1188,0,0.0,6700.0,GPT
containment,two_hop_is_in,3,1188,0,0.0,6700.0,GPT
containment,two_hop_is_in,4,1188,0,0.0,6700.0,GPT
containment,two_hop_is_in,5,1188,1188,1.0,6700.0,GPT
containment,two_hop_is_in,6,1188,1188,1.0,6700.0,GPT
metaphor,containment_metaphors_action_into_movement,0,240,240,1.0,6700.0,GPT
metaphor,containment_metaphors_action_into_movement,1,240,240,1.0,6700.0,GPT
metaphor,containment_metaphors_could_not_contain,0,12,12,1.0,6700.0,GPT
metaphor,containment_metaphors_energy_into,0,12,12,1.0,6700.0,GPT
metaphor,containment_metaphors_energy_into,1,12,12,1.0,6700.0,GPT
metaphor,containment_metaphors_entity_in_state,0,20,20,1.0,6700.0,GPT
metaphor,containment_metaphors_filled_with_emotion,0,12,12,1.0,6700.0,GPT
metaphor,containment_metaphors_got_out_of,0,12,12,1.0,6700.0,GPT
metaphor,containment_metaphors_in_motion,0,9,9,1.0,6700.0,GPT
metaphor,containment_metaphors_material_in,0,9,9,1.0,6700.0,GPT
metaphor,containment_metaphors_outside_of,0,36,36,1.0,6700.0,GPT
metaphor,distance_metaphors_close_to_goal,0,36,36,1.0,6700.0,GPT
metaphor,distance_metaphors_close_to_goal,1,36,36,1.0,6700.0,GPT
metaphor,distance_metaphors_close_to_goal,2,36,36,1.0,6700.0,GPT
metaphor,distance_metaphors_far_from_achieving,0,36,36,1.0,6700.0,GPT
metaphor,distance_metaphors_far_from_achieving,1,36,36,1.0,6700.0,GPT
metaphor,motion_metaphors_flying,0,4,0,0.0,6700.0,GPT
metaphor,motion_metaphors_flying,1,4,4,1.0,6700.0,GPT
metaphor,motion_metaphors_jumping,0,12,12,1.0,6700.0,GPT
metaphor,motion_metaphors_jumping,1,12,12,1.0,6700.0,GPT
metaphor,motion_metaphors_moving_toward_agreement,0,36,36,1.0,6700.0,GPT
metaphor,motion_metaphors_skipping,0,16,16,1.0,6700.0,GPT
metaphor,motion_metaphors_skipping,1,16,16,1.0,6700.0,GPT
metaphor,orientation_metaphors_behind,0,12,12,1.0,6700.0,GPT
metaphor,orientation_metaphors_down,0,4,0,0.0,6700.0,GPT
metaphor,orientation_metaphors_down,1,4,4,1.0,6700.0,GPT
metaphor,orientation_metaphors_looking_forward,0,12,12,1.0,6700.0,GPT
motion,motion_one_hop,0,24,24,1.0,,
motion,motion_one_hop,1,36,36,1.0,,
motion,motion_one_hop,2,36,20,0.5555555555555556,,
motion,motion_one_hop_jerund,0,72,72,1.0,,
motion,motion_one_hop_jerund,1,72,72,1.0,,
motion,motion_one_hop_jerund,2,72,28,0.3888888888888889,,
motion,non_motion_one_hop,0,24,24,1.0,,
motion,non_motion_one_hop,1,36,36,1.0,,
motion,non_motion_one_hop,2,36,36,1.0,,
motion,non_motion_one_hop_jerund,0,48,48,1.0,,
motion,non_motion_one_hop_jerund,1,48,28,0.5833333333333334,,
motion,non_motion_one_hop_jerund,2,48,36,0.75,,
orientation,cardinals_neutral,0,96,0,0.0,,
orientation,cardinals_one_hop,0,24,16,0.6666666666666666,,
orientation,cardinals_one_hop,1,72,40,0.5555555555555556,,
orientation,left_right_above_below_one_hop,0,160,97,0.60625,,
orientation,left_right_above_below_one_hop,1,640,285,0.4453125,,
orientation,left_right_one_hop,0,360,16,0.0444444444444444,,
orientation,left_right_one_hop,1,840,397,0.4726190476190476,,
distance,far_negative,0,60,60,1.0,,
distance,far_negative,1,60,51,0.85,,
distance,far_negative,2,40,40,1.0,,
distance,far_negative,3,40,36,0.9,,
distance,far_positive,0,20,19,0.95,,
distance,far_positive,1,60,60,1.0,,
distance,far_positive,2,60,60,1.0,,
distance,nearby_neutral,0,120,103,0.8583333333333333,,
distance,nearby_neutral,1,120,91,0.7583333333333333,,
distance,not_touching_neutral,0,120,79,0.6583333333333333,,
distance,not_touching_neutral,1,120,0,0.0,,
distance,not_touching_neutral,2,120,62,0.5166666666666667,,
distance,not_touching_neutral,3,120,2,0.0166666666666666,,
distance,touching_negative,0,120,120,1.0,,
distance,touching_negative,1,120,119,0.9916666666666668,,
distance,touching_negative,2,120,115,0.9583333333333334,,
distance,touching_positive,0,120,105,0.875,,
distance,touching_positive,1,120,120,1.0,,
distance,touching_positive,2,120,116,0.9666666666666668,,
distance,transitivity_negative,0,480,78,0.1625,,
containment,filled_with,0,18,18,1.0,,
containment,filled_with,1,18,0,0.0,,
containment,motion_out_of,0,54,26,0.4814814814814814,,
containment,motion_out_of,1,54,14,0.2592592592592592,,
containment,motion_out_of,2,36,28,0.7777777777777778,,
containment,motion_out_of,3,36,3,0.0833333333333333,,
containment,movement_into_container,0,54,54,1.0,,
containment,movement_into_container,1,54,10,0.1851851851851851,,
containment,movement_into_container,2,36,36,1.0,,
containment,one_hop_neg,0,72,72,1.0,,
containment,one_hop_neg,1,72,72,1.0,,
containment,one_hop_pos,0,216,207,0.9583333333333334,,
containment,one_hop_pos,1,216,215,0.9953703703703703,,
containment,one_hop_pos,2,216,214,0.9907407407407408,,
containment,two_hop_fits_in,0,528,508,0.9621212121212122,,
containment,two_hop_fits_in,1,792,5,0.0063131313131313,,
containment,two_hop_fits_in,2,792,44,0.0555555555555555,,
containment,two_hop_fits_in,3,792,68,0.0858585858585858,,
containment,two_hop_fits_in,4,528,0,0.0,,
containment,two_hop_fits_in,5,528,0,0.0,,
containment,two_hop_fits_in,6,528,0,0.0,,
containment,two_hop_is_in,0,1782,1552,0.8709315375982043,,
containment,two_hop_is_in,1,1188,1188,1.0,,
containment,two_hop_is_in,2,1188,804,0.6767676767676768,,
containment,two_hop_is_in,3,1188,1166,0.9814814814814816,,
containment,two_hop_is_in,4,1188,834,0.702020202020202,,
containment,two_hop_is_in,5,1188,917,0.7718855218855218,,
containment,two_hop_is_in,6,1188,939,0.7904040404040404,,
metaphor,containment_metaphors_action_into_movement,0,240,9,0.0375,,
metaphor,containment_metaphors_action_into_movement,1,240,18,0.075,,
metaphor,containment_metaphors_could_not_contain,0,12,0,0.0,,
metaphor,containment_metaphors_energy_into,0,12,0,0.0,,
metaphor,containment_metaphors_energy_into,1,12,8,0.6666666666666666,,
metaphor,containment_metaphors_entity_in_state,0,20,8,0.4,,
metaphor,containment_metaphors_filled_with_emotion,0,12,0,0.0,,
metaphor,containment_metaphors_got_out_of,0,12,2,0.1666666666666666,,
metaphor,containment_metaphors_in_motion,0,9,0,0.0,,
metaphor,containment_metaphors_material_in,0,9,0,0.0,,
metaphor,containment_metaphors_outside_of,0,36,24,0.6666666666666666,,
metaphor,distance_metaphors_close_to_goal,0,36,0,0.0,,
metaphor,distance_metaphors_close_to_goal,1,36,0,0.0,,
metaphor,distance_metaphors_close_to_goal,2,36,0,0.0,,
metaphor,distance_metaphors_far_from_achieving,0,36,0,0.0,,
metaphor,distance_metaphors_far_from_achieving,1,36,0,0.0,,
metaphor,motion_metaphors_flying,0,4,4,1.0,,
metaphor,motion_metaphors_flying,1,4,0,0.0,,
metaphor,motion_metaphors_jumping,0,12,0,0.0,,
metaphor,motion_metaphors_jumping,1,12,0,0.0,,
metaphor,motion_metaphors_moving_toward_agreement,0,36,0,0.0,,
metaphor,motion_metaphors_skipping,0,16,8,0.5,,
metaphor,motion_metaphors_skipping,1,16,0,0.0,,
metaphor,orientation_metaphors_behind,0,12,10,0.8333333333333334,,
metaphor,orientation_metaphors_down,0,4,4,1.0,,
metaphor,orientation_metaphors_down,1,4,4,1.0,,
metaphor,orientation_metaphors_looking_forward,0,12,12,1.0,,
motion,motion_one_hop,0,24,0,0.0,60.0,UnifiedQA
motion,motion_one_hop,1,36,36,1.0,60.0,UnifiedQA
motion,motion_one_hop,2,36,0,0.0,60.0,UnifiedQA
motion,motion_one_hop_jerund,0,72,0,0.0,60.0,UnifiedQA
motion,motion_one_hop_jerund,1,72,72,1.0,60.0,UnifiedQA
motion,motion_one_hop_jerund,2,72,0,0.0,60.0,UnifiedQA
motion,non_motion_one_hop,0,24,0,0.0,60.0,UnifiedQA
motion,non_motion_one_hop,1,36,36,1.0,60.0,UnifiedQA
motion,non_motion_one_hop,2,36,0,0.0,60.0,UnifiedQA
motion,non_motion_one_hop_jerund,0,48,0,0.0,60.0,UnifiedQA
motion,non_motion_one_hop_jerund,1,48,48,1.0,60.0,UnifiedQA
motion,non_motion_one_hop_jerund,2,48,0,0.0,60.0,UnifiedQA
orientation,cardinals_neutral,0,96,0,0.0,60.0,UnifiedQA
orientation,cardinals_one_hop,0,24,0,0.0,60.0,UnifiedQA
orientation,cardinals_one_hop,1,72,72,1.0,60.0,UnifiedQA
orientation,left_right_above_below_one_hop,0,160,0,0.0,60.0,UnifiedQA
orientation,left_right_above_below_one_hop,1,640,640,1.0,60.0,UnifiedQA
orientation,left_right_one_hop,0,360,0,0.0,60.0,UnifiedQA
orientation,left_right_one_hop,1,840,840,1.0,60.0,UnifiedQA
distance,far_negative,0,60,60,1.0,60.0,UnifiedQA
distance,far_negative,1,60,60,1.0,60.0,UnifiedQA
distance,far_negative,2,40,40,1.0,60.0,UnifiedQA
distance,far_negative,3,40,40,1.0,60.0,UnifiedQA
distance,far_positive,0,20,0,0.0,60.0,UnifiedQA
distance,far_positive,1,60,0,0.0,60.0,UnifiedQA
distance,far_positive,2,60,0,0.0,60.0,UnifiedQA
distance,nearby_neutral,0,120,0,0.0,60.0,UnifiedQA
distance,nearby_neutral,1,120,0,0.0,60.0,UnifiedQA
distance,not_touching_neutral,0,120,0,0.0,60.0,UnifiedQA
distance,not_touching_neutral,1,120,0,0.0,60.0,UnifiedQA
distance,not_touching_neutral,2,120,0,0.0,60.0,UnifiedQA
distance,not_touching_neutral,3,120,0,0.0,60.0,UnifiedQA
distance,touching_negative,0,120,120,1.0,60.0,UnifiedQA
distance,touching_negative,1,120,120,1.0,60.0,UnifiedQA
distance,touching_negative,2,120,120,1.0,60.0,UnifiedQA
distance,touching_positive,0,120,0,0.0,60.0,UnifiedQA
distance,touching_positive,1,120,0,0.0,60.0,UnifiedQA
distance,touching_positive,2,120,0,0.0,60.0,UnifiedQA
distance,transitivity_negative,0,480,480,1.0,60.0,UnifiedQA
containment,filled_with,0,18,0,0.0,60.0,UnifiedQA
containment,filled_with,1,18,18,1.0,60.0,UnifiedQA
containment,motion_out_of,0,54,0,0.0,60.0,UnifiedQA
containment,motion_out_of,1,54,54,1.0,60.0,UnifiedQA
containment,motion_out_of,2,36,36,1.0,60.0,UnifiedQA
containment,motion_out_of,3,36,0,0.0,60.0,UnifiedQA
containment,movement_into_container,0,54,0,0.0,60.0,UnifiedQA
containment,movement_into_container,1,54,54,1.0,60.0,UnifiedQA
containment,movement_into_container,2,36,36,1.0,60.0,UnifiedQA
containment,one_hop_neg,0,72,72,1.0,60.0,UnifiedQA
containment,one_hop_neg,1,72,0,0.0,60.0,UnifiedQA
containment,one_hop_pos,0,216,0,0.0,60.0,UnifiedQA
containment,one_hop_pos,1,216,0,0.0,60.0,UnifiedQA
containment,one_hop_pos,2,216,0,0.0,60.0,UnifiedQA
containment,two_hop_fits_in,0,528,0,0.0,60.0,UnifiedQA
containment,two_hop_fits_in,1,792,0,0.0,60.0,UnifiedQA
containment,two_hop_fits_in,2,792,0,0.0,60.0,UnifiedQA
containment,two_hop_fits_in,3,792,0,0.0,60.0,UnifiedQA
containment,two_hop_fits_in,4,528,0,0.0,60.0,UnifiedQA
containment,two_hop_fits_in,5,528,0,0.0,60.0,UnifiedQA
containment,two_hop_fits_in,6,528,0,0.0,60.0,UnifiedQA
containment,two_hop_is_in,0,1782,0,0.0,60.0,UnifiedQA
containment,two_hop_is_in,1,1188,0,0.0,60.0,UnifiedQA
containment,two_hop_is_in,2,1188,0,0.0,60.0,UnifiedQA
containment,two_hop_is_in,3,1188,0,0.0,60.0,UnifiedQA
containment,two_hop_is_in,4,1188,0,0.0,60.0,UnifiedQA
containment,two_hop_is_in,5,1188,1188,1.0,60.0,UnifiedQA
containment,two_hop_is_in,6,1188,1188,1.0,60.0,UnifiedQA
metaphor,containment_metaphors_action_into_movement,0,240,240,1.0,60.0,UnifiedQA
metaphor,containment_metaphors_action_into_movement,1,240,240,1.0,60.0,UnifiedQA
metaphor,containment_metaphors_could_not_contain,0,12,12,1.0,60.0,UnifiedQA
metaphor,containment_metaphors_energy_into,0,12,12,1.0,60.0,UnifiedQA
